"","Sub.Recipient.ID","Sub.Recipient.Agency.x","Intercity.Bus","Mode","Vehicle.Revenue.Miles","Vehicle.Revenue.Hours","Unlinked.Passenger.Trips","Sponsored.Unlinked.Passenger.Trips","Total.Trips","Abbr","counties"
"63","4R03-085","Murray County Transportation System","N","Demand Response",179836,13499,12930,14899,27829,"N/A","Murray"
"64","4R03-086","Paulding County","N","Demand Response",121188,6510,14724,0,14724,"N/A","Paulding"
"65","4R03-087","Pickens County","N","Demand Response",92978,7264,11160,5380,16540,"M.A.T.S.","Pickens"
"66","4R03-089","Whitfield County W.T.S.","N","Demand Response",260875,18647,17316,21462,38778,"N/A","Whitfield"
"67","4R03-090","Southwest Georgia RC","N","Demand Response",3406256,164950,89040,206533,295573,"N/A","Baker, Calhoun, Colquitt, Decatur, Dougherty, Earl"
"68","4R03-091","Catoosa County","N","Demand Response",178849,13481,12754,11303,24057,"Catoosa Trans-Aid","Catoosa"
"69","4R03-092","City of Cedartown","N","Demand Response",18145,1888,3659,867,4526,"N/A","Polk"
"70","4R03-094","Lowndes County","N","Demand Response",237041,16109,9516,19288,28804,"N/A","Lowndes"
"71","4R03-099","Ware County","N","Demand Response",162977,11717,4572,15775,20347,"N/A","Ware"
"72","4R03-100","Towns County","N","Demand Response",23782,2352,1754,0,1754,"N/A","Towns"
"73","4R03-101","Bacon County","N","Demand Response",40946,3626,506,6941,7447,"N/A","Bacon"
"74","4R03-115","Coweta County","N","Demand Response",188289,12571,8943,21845,30788,NA,"Coweta"
"75","4R03-116","Berrien County","N","Demand Response",99887,5726,304,7611,7915,NA,"Berrien"
"76","4R03-117","Clay County","N","Demand Response",192819,8917,3333,8441,11774,NA,"Clay"
"77","4R03-118","Coastal Regional Commission","N","Demand Response",2905893,168489,78203,102329,180532,"Coastal Regional Coaches","Glynn, Camden, McIntosh, Long, Liberty, Bryan, Chatham"
"78","4R03-121","Greyhound Lines, Inc.","Y","Bus",1019882,0,88985,0,88985,NA,"Fulton, Cobb, Bibb, Chatham"
"79","4R03-122","Southeastern Stages, Inc.","Y","Bus",682828,0,253314,0,253314,NA,"Fulton"
"80","4R03-123","Dooly County Transit","N","Demand Response",205858,9294,3771,17204,20975,"HCT","Heard"
"81","4R03-124","Lower Chattahoochee Regional Commission","N","Demand Response",591701,23745,3559,19670,23229,"N/A","Quitman"
