"","Sub.Recipient.ID","Funding.Type","Total.Annual.Expenses","Fare.Revenues","Contract.Revenues","Local.Funds","State.Funds","FTA.Capital.Program.funds...5309.","FTA.Special.Needs.of.Elderly.Individuals.and.Individuals.with.Disabilities.Formula.Program.funds...5310.","FTA.Other.than.Urbanized.Area.Formula.funds...5311.","Intercity.Bus.grants...5311.","ARRA.Intercity.Bus.grants...5311.","ARRA.Other.than.Urbanized.Area.Formula.funds...5311.","FTA.Tribal.Transit.funds...5311.","ARRA.Tribal.Transit.funds...5311.","FTA.Job.Access.and.Reverse.Commute.Formula.Program.funds...5316.","FTA.New.Freedom.Program.funds...5317.","X.FTA.Alternative.Transportation.in.Parks.and.Public.Lands.Program.funds...5320..","ARRA.TIGGER..Greenhouse.Gas.and.Energy.Reduction.","Other.FTA.funds","Other.Federal.Funds","Other.Funds","Other.Funds.Description"
"12","4R03-009","Operations",70529,7838,2625,29415,NA,NA,NA,30651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4R03-010","Operations",156187,20610,NA,67927,NA,NA,NA,67650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","4R03-011","Capital",40310,NA,NA,NA,NA,NA,NA,NA,NA,NA,40310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","4R03-011","Operations",165590,10943,56648,23092,NA,NA,NA,74907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","4R03-012","Operations",72057,31622,NA,20217,NA,NA,NA,20218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","4R03-013","Operations",642179,72205,NA,285462,NA,NA,NA,284512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","4R03-014","Operations",69467,4798,NA,33409,NA,NA,NA,31260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","4R03-015","Operations",94452,21918,NA,36267,NA,NA,NA,36267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","4R03-016","Operations",144707,10302,32627,36660,NA,NA,NA,65118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","4R03-017","Capital",41368,NA,NA,NA,NA,NA,NA,NA,NA,NA,41368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","4R03-017","Operations",266902,17439,1765,69908,NA,NA,NA,69907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107883,NA,"Funds include Medicaid, various Health and Human Services, Dept of Labor and 5310 Sources"
"23","4R03-018","Capital",79284,NA,NA,NA,NA,NA,NA,NA,NA,NA,79284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4R03-018","Operations",501213,26086,NA,188120,NA,NA,NA,175261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111746,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"25","4R03-019","Operations",156277,8164,14444,62749,NA,NA,NA,69834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"26","4R03-020","Capital",2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4R03-020","Operations",66837,1540,NA,35222,NA,NA,NA,30075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4R03-021","Operations",235414,32934,NA,66201,NA,NA,NA,100743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35536,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"29","4R03-022","Capital",NA,NA,NA,7317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31198,"Insurance Settlement"
"30","4R03-022","Operations",112417,5480,NA,45156,NA,NA,NA,41097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20684,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"31","4R03-023","Operations",282586,49134,NA,92593,NA,NA,NA,92593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48266,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"32","4R03-024","Operations",37644,2800,NA,17954,NA,NA,NA,16890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4R03-025","Capital",39428,NA,NA,NA,NA,NA,NA,NA,NA,NA,39428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4R03-025","Operations",53863,3061,13930,NA,NA,NA,NA,23846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13026,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"35","4R03-026","Capital",42071,NA,NA,NA,NA,NA,NA,NA,NA,NA,42071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4R03-026","Operations",190274,6674,NA,80663,NA,NA,NA,85659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17278,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"37","4R03-027","Operations",165014,14390,NA,29439,NA,NA,NA,73752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47433,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"38","4R03-028","Capital",4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4R03-028","Operations",233770,28754,NA,110327,NA,NA,NA,94689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4R03-029","Operations",NA,31430,NA,NA,NA,NA,NA,55567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","4R03-030","Capital",35931,NA,NA,NA,NA,NA,NA,NA,NA,NA,35931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4R03-030","Operations",63661,10580,NA,26542,NA,NA,NA,26539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4R03-031","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4R03-031","Operations",39925,5070,17458,NA,NA,NA,NA,17397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4R03-032","Operations",91699,2915,NA,42646,NA,NA,NA,37239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8899,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"46","4R03-033","Capital",40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4R03-033","Operations",177751,14954,NA,83183,NA,NA,NA,79614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4R03-034","Capital",75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4R03-034","Operations",152148,8873,NA,74810,NA,NA,NA,68465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","4R03-035","Capital",74765,NA,NA,NA,NA,NA,NA,NA,NA,NA,74765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4R03-035","Operations",710495,19450,NA,582808,NA,NA,NA,29455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78782,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"52","4R03-036","Capital",119275,NA,NA,NA,NA,NA,NA,NA,NA,NA,119275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","4R03-036","Operations",114888,5856,NA,57335,NA,NA,NA,51697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4R03-039","Operations",139947,6905,NA,45267,NA,NA,NA,44435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43340,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"55","4R03-041","Operations",166320,4048,17194,69048,NA,NA,NA,71996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"56","4R03-042","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4R03-042","Operations",114109,16733,19067,30530,NA,NA,NA,47779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4R03-043","Capital",39368,NA,NA,NA,NA,NA,NA,NA,NA,NA,39368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4R03-043","Operations",189984,7136,43055,49138,NA,NA,NA,80718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9937,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"60","4R03-044","Operations",58111,4791,282,26940,NA,NA,NA,26098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","4R03-045","Operations",193655,53650,NA,70018,NA,NA,NA,69987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4R03-046","Capital",44044,NA,NA,NA,NA,NA,NA,NA,NA,NA,44044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4R03-046","Operations",292117,27438,104697,29664,NA,NA,NA,130318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4R03-047","Capital",41582,NA,NA,NA,NA,NA,NA,NA,NA,NA,41582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4R03-047","Operations",218903,6794,NA,18544,NA,NA,NA,98505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95060,NA,"Funds recived from Medicaid, HHS. DOL and FTA 5310"
"66","4R03-048","Operations",188520,10682,65000,28004,NA,NA,NA,84834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4R03-049","Capital",39494,NA,NA,NA,NA,NA,NA,NA,NA,NA,39494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4R03-049","Operations",122677,4936,23137,40422,NA,NA,NA,54182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","4R03-050","Capital",5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","4R03-050","Operations",219021,5919,NA,NA,NA,NA,NA,98327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114775,NA,"Funds recieved from Medicaid, HHS, DOL and 5310"
"71","4R03-054","Capital",168740,NA,NA,NA,NA,NA,NA,NA,NA,NA,168740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4R03-054","Operations",335541,11647,NA,NA,NA,NA,NA,150860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173034,NA,"Funds received from Medicaid, DHS, DOL and FTA 5310"
"73","4R03-055","Capital",79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4R03-055","Operations",393725,6383,NA,NA,NA,NA,NA,177174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210168,NA,"Funds received from Medicaid, HHS, DOL and FTA 5310"
"75","4R03-063","Capital",125096,NA,NA,NA,NA,NA,NA,NA,NA,NA,125096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4R03-063","Operations",943220,64415,NA,NA,NA,NA,NA,424450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454355,NA,"Funds recieved from Medicaid, HHS, DOL and FTA 5310 sources"
"77","4R03-064","Capital",4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4R03-064","Operations",226964,18968,NA,105953,NA,NA,NA,102043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4R03-065","Capital",4058,NA,NA,NA,NA,NA,NA,NA,NA,NA,4058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","4R03-065","Operations",134133,1821,NA,NA,NA,NA,NA,60360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71952,NA,"Funds received from Medicaid, HHS, DOL and FTA 5310"
"81","4R03-066","Capital",39398,NA,NA,NA,NA,NA,NA,NA,NA,NA,39398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","4R03-066","Operations",142768,3803,68802,5918,NA,NA,NA,64245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","4R03-070","Operations",70481,1255,10343,26741,NA,NA,NA,31369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773,NA,"Rural General Public Transit Service (RU-20)    4R03-001 - Banks County Transit    RUR4R03 12/13/13 "
"84","4R03-071","Capital",106402,NA,NA,NA,NA,NA,NA,NA,NA,NA,106402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4R03-071","Operations",330666,8093,148136,25637,NA,NA,NA,148800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","4R03-073","Operations",130320,1844,29039,40996,NA,NA,NA,58441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4R03-074","Capital",83574,NA,NA,NA,NA,NA,NA,NA,NA,NA,83574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4R03-074","Operations",284273,32526,21619,13100,NA,NA,NA,34719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182309,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"89","4R03-075","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4R03-075","Operations",117568,4669,NA,59993,NA,NA,NA,52906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","4R03-076","Capital",114871,NA,NA,NA,NA,NA,NA,NA,NA,NA,114871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","4R03-076","Operations",480332,26079,118207,119897,NA,NA,NA,216149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","4R03-077","Capital",75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","4R03-077","Operations",147145,8705,NA,72225,NA,NA,NA,66215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","4R03-080","Operations",215052,2640,23213,93117,NA,NA,NA,96082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4R03-081","Capital",142098,NA,NA,NA,NA,NA,NA,NA,NA,NA,142098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","4R03-081","Operations",227406,8301,66340,50432,NA,NA,NA,102333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","4R03-082","Operations",184107,6044,53270,41945,NA,NA,NA,82848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","4R03-083","Capital",114367,NA,NA,NA,NA,NA,NA,NA,NA,NA,114367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","4R03-083","Operations",190251,14079,17963,72596,NA,NA,NA,85613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","4R03-084","Capital",78742,NA,NA,NA,NA,NA,NA,NA,NA,NA,78742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4R03-084","Operations",160686,8738,NA,79639,NA,NA,NA,72309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","4R03-085","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","4R03-085","Operations",294760,26845,102536,33663,NA,NA,NA,131716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","4R03-086","Capital",44192,NA,NA,NA,NA,NA,NA,NA,NA,NA,44192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","4R03-086","Operations",211911,NA,NA,116551,NA,NA,NA,95360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","4R03-087","Capital",35745,NA,NA,NA,NA,NA,NA,NA,NA,NA,35745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","4R03-087","Operations",201562,20698,33875,57183,NA,NA,NA,89806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","4R03-089","Capital",93056,NA,NA,NA,NA,NA,NA,NA,NA,NA,93056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","4R03-089","Operations",583585,41755,188447,90770,NA,NA,NA,262613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","4R03-090","Capital",936492,NA,NA,NA,NA,NA,NA,NA,NA,NA,936492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4R03-090","Operations",5061324,270531,NA,NA,NA,NA,NA,2277596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513197,NA,"Funds Received from Medicaid, HHS, DOL and FTA 5310"
"113","4R03-091","Capital",88388,NA,NA,NA,NA,NA,NA,NA,NA,NA,88388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","4R03-091","Operations",574814,NA,43806,272342,NA,NA,NA,258666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4R03-092","Operations",48288,1093,11149,14316,NA,NA,NA,21730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","4R03-094","Capital",174106,NA,NA,NA,NA,NA,NA,NA,NA,NA,174106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","4R03-094","Operations",361440,28218,NA,NA,NA,NA,NA,162480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170742,NA,"Funds received from Medicaid, HHS, DOL and FTA 5310"
"118","4R03-099","Capital",55231,NA,NA,NA,NA,NA,NA,NA,NA,NA,55231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","4R03-099","Operations",247844,12588,NA,NA,NA,NA,NA,111530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123726,NA,"Funds Received from Medicaid, HHS, DOL and FTA 5310 sources"
"120","4R03-100","Operations",77425,7743,NA,35086,NA,NA,NA,34596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","4R03-101","Capital",44464,NA,NA,NA,NA,NA,NA,NA,NA,NA,44464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","4R03-101","Operations",82360,101,NA,NA,NA,NA,NA,37062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45197,NA,"Funds received from Medicaid. HHS, DOL and FTA 5310 sources"
"123","4R03-106","Operations",NA,28449,NA,134975,NA,NA,NA,269496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","4R03-115","Capital",79164,NA,NA,NA,NA,NA,NA,NA,NA,NA,79164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","4R03-115","Operations",288772,27230,NA,29136,NA,NA,NA,29136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203270,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"126","4R03-116","Capital",2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","4R03-116","Operations",112696,1132,58567,2284,NA,NA,NA,50713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","4R03-117","Capital",39522,NA,NA,NA,NA,NA,NA,NA,NA,NA,39522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","4R03-117","Operations",255830,9666,104529,26512,NA,NA,NA,115123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","4R03-118","Capital",1312284,NA,NA,NA,NA,NA,NA,NA,NA,NA,934942,NA,NA,377342,NA,NA,NA,NA,NA,NA,NA
"131","4R03-118","Operations",4904319,299713,967611,1335327,NA,NA,NA,2129441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172227,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"132","4R03-119","Capital",NA,NA,NA,150740,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,NA,NA,NA,602959,NA,"FTA Urbanized Area Formula Program (5307), ARRA Urbanized Area Program Funds (5307)"
"133","4R03-119","Operations",NA,78293,NA,596550,NA,NA,NA,424336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371713,"Reimbursement for human services transportation for the Georgia Dept. of Human Services"
"134","4R03-121","Capital",NA,NA,NA,NA,NA,NA,NA,NA,2545115,1018046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","4R03-122","Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,1018046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","4R03-123","Capital",78928,NA,NA,NA,NA,NA,NA,NA,NA,NA,78928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","4R03-123","Operations",473250,28247,NA,232043,NA,NA,NA,212960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","4R03-124","Capital",257136,NA,NA,14670,14670,NA,NA,NA,NA,NA,122796,NA,NA,105000,NA,NA,NA,NA,NA,NA,NA
"139","4R03-124","Operations",761948,9630,65621,409161,NA,NA,NA,26098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251438,NA,"Funds include Medicaid, HHS, DOL and 5310 funding"
